Date,Adj_Close,Open,adx,aroondown,aroonup,aroonosc,bop,cci,cmo,dx,mfi,minus_di,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr
2020-06-09,65.08891296386719,66.62000274658203,18.814091971185384,0.0,71.42857142857143,71.42857142857143,-0.19084005031915388,69.28360286109766,22.617366663787276,21.59054304373581,87.34853858997411,17.18457175253824,26.648334173907795,3.905170807304861,10.340816397198328,61.30868333189364,83.28288385890562,79.69356865352172,85.18989945618844,83.28288385890562,0.2897839055034712,61.19295471284845,-14.303155565960216
2020-06-10,65.63810729980469,66.62000274658203,19.419454543860773,0.0,64.28571428571429,64.28571428571429,0.26956273675970094,84.89190759044787,25.795545141172287,27.28916798864085,87.49514568840667,16.403781185872297,28.71681703066204,4.49154522785841,10.866326800324488,62.89777257058614,89.73000700079001,83.68054696401214,91.46852475284501,89.73000700079001,0.32378442071232527,58.873402888665204,-7.721525221904277
2020-06-11,63.82381057739258,66.55999755859375,18.575501385464662,7.142857142857143,57.142857142857146,50.0,-0.6351928800872307,29.82373438344718,9.757903646675183,7.604110326315183,78.62495336751732,22.2360937971675,25.896120472750482,4.912772672156663,6.583688777187113,54.878951823337594,79.52597920946131,84.17962335638595,61.91951341935103,79.52597920946131,0.3400815214843256,53.23940425235,-31.13922290285851
2020-06-12,62.83659362792969,65.41000366210939,17.633755878164475,0.0,50.0,50.0,-0.6666666666666712,-45.56186583878789,-0.7727567783580366,5.391064283262079,71.08462090925906,26.010042042484198,23.349061064352995,5.0119685475838285,3.1103223681848258,49.613621610820985,60.134986749778896,76.4636576533437,27.016922077141178,60.134986749778896,0.33503771547389594,50.266995177029706,-54.405574258535154
2020-06-15,62.6983757019043,62.61999893188477,17.093454255904255,0.0,42.85714285714286,42.85714285714286,0.4564097648386722,-100.87807102212152,-1.7664813632367053,10.069533166521406,64.47152284567002,26.504214965001697,21.654824512169778,4.716296414677684,-0.7811338822222291,49.11675931838164,38.14823445903082,59.26973347275731,25.508267880600776,38.14823445903082,0.3154726621652282,54.35838730495591,-62.38394992470991
2020-06-16,62.92544174194336,65.27999877929689,16.051417413181095,0.0,35.714285714285715,35.714285714285715,-0.7064218257030581,-66.69549078744487,0.005231227187710045,2.5049384577800016,64.4905784968259,24.374840213918926,25.627364673891645,4.324629055397861,-1.9836954098802484,50.00261561359386,27.428302110136183,41.9038411063156,29.759716372667118,27.428302110136183,0.28865419216166366,52.2705788527024,-70.24028362733289
2020-06-17,63.07352066040039,64.30000305175781,14.945808911838112,85.71428571428572,28.571428571428573,-57.142857142857146,-0.31060980438055935,-106.797671566604,1.2131089496249101,0.5728983943793367,58.20365299332034,24.632240129945203,24.35161242515191,3.838058554725897,-2.8288982666943907,50.60655447481245,29.266767216730432,31.614434595299443,32.532317396923936,29.266767216730432,0.2590380726620545,48.15472390413841,-67.46768260307607
2020-06-18,63.68560409545898,63.65999984741211,13.971762405511452,78.57142857142857,21.42857142857143,-57.142857142857146,0.7203407364303495,-72.28442375101099,6.253832473737865,1.309157823264862,57.08652944414576,23.505741725709438,24.129360391699706,3.2698428618208832,-2.3611284483114003,53.12691623686894,35.42822034613375,30.707763224333757,43.99262726881073,35.42822034613375,0.23228814044937707,49.12315290530147,-56.00737273118928
2020-06-19,63.1919937133789,64.59999847412111,13.507407264454173,71.42857142857143,14.285714285714286,-57.142857142857146,-0.2864057983359862,-58.9010889079541,1.7449641019005904,7.4707904307095525,61.65536203982661,21.644730757521806,25.139913482442573,2.5266948932648563,-4.205324111684194,50.872482050950296,37.265674286871985,33.986887283245686,35.27207819488181,37.265674286871985,0.20525771071677745,46.517062882740994,-65.24951716931113
2020-06-22,64.31742095947266,63.88000106811523,13.291181563605509,64.28571428571429,7.142857142857143,-57.142857142857146,0.4810608906742163,-25.173921245820683,11.01650098707502,10.480247452572874,61.554308682078144,19.5126120412474,24.08136914387644,2.1113631363178125,0.18453444384840534,55.50825049353752,45.30838263238966,39.334092421798765,56.66044243347696,45.30838263238966,0.18559657100229998,52.62946872418814,-44.17743913230815
2020-06-23,63.36968994140625,65.48999786376953,13.11389017350004,57.142857142857146,0.0,-57.142857142857146,-0.7103793014316565,-18.5918387414103,2.2651434548620486,10.80910210212894,56.19249706867423,18.176044376479236,22.58157732005733,1.5839635928475717,-1.6395949429952372,51.13257172743103,43.52723883329844,42.03376525085366,38.64919587153706,43.52723883329844,0.16544887892611104,50.69910481083769,-61.35080412846294
2020-06-24,62.86620712280274,63.63999938964844,12.21108324697232,50.0,28.571428571428573,-21.42857142857143,0.03100843964206928,-85.4804815206698,-2.1479554035374817,0.4745932021119576,56.57769129547723,21.26260482757224,21.46538898158934,0.9410333590385505,-4.88423718016654,48.92602229823126,41.463436745305586,43.433019403664865,29.080671930903232,41.463436745305586,0.14278351400520695,49.71442216239063,-70.91932806909676
2020-06-25,62.09617614746094,63.95000076293945,11.819673507607922,100.0,21.42857142857143,-78.57142857142857,-0.5675664529751547,-115.18224436830565,-8.641357170204904,6.731346895870757,50.686414334452515,22.82158011351223,19.9429511647774,0.29590316100755093,-5.228267405611686,45.67932141489755,27.445552511586893,37.47874269673061,14.606789732320882,27.445552511586893,0.11508473053722934,52.936620184145134,-85.39321026767912
